model,rmse,mae,bias,directional_accuracy,n,target_transform,nowcast_lag_days
random_walk,1.1634135921821191,0.959007242590299,-0.07655058859799421,0.42592592592592593,56,level,15
ar1,1.2414165851832342,1.0262157361738258,-0.24827678786380045,0.4444444444444444,56,level,15
bridge,1.2779601777199114,0.9957978968657427,-0.20728873651071109,0.6666666666666666,56,level,15
state_mean,3.9688979841292795,3.62253708368317,-0.367987419107964,0.46296296296296297,56,level,15
national_bridge,8.225374149499984,6.735231311053752,4.283732886348099,0.5925925925925926,56,level,15
dfm,9.766828636239001,9.578367285114492,-0.11083632780095241,0.5925925925925926,56,level,15
pooled_mean,9.796142439751081,9.590612869781287,-0.3679874191079792,0.4444444444444444,56,level,15
peer_average,19.303374996172334,19.063429940009204,-0.07655058859799421,0.5370370370370371,56,level,15
bridge,1.0655826051520245,0.8272198282008613,-0.19947841472070746,0.7222222222222222,56,level,45
random_walk,1.1634135921821191,0.959007242590299,-0.07655058859799421,0.42592592592592593,56,level,45
ar1,1.2414165851832342,1.0262157361738258,-0.24827678786380045,0.4444444444444444,56,level,45
state_mean,3.9688979841292795,3.62253708368317,-0.367987419107964,0.46296296296296297,56,level,45
national_bridge,8.2680972278691,6.793991657651085,4.368736546922136,0.5185185185185185,56,level,45
dfm,9.767165790807827,9.571301303129347,-0.07839438039156375,0.5740740740740741,56,level,45
pooled_mean,9.796142439751081,9.590612869781287,-0.3679874191079792,0.4444444444444444,56,level,45
peer_average,19.303374996172334,19.063429940009204,-0.07655058859799421,0.5370370370370371,56,level,45
bridge,1.0655826051520245,0.8272198282008613,-0.19947841472070746,0.7222222222222222,56,level,75
random_walk,1.1634135921821191,0.959007242590299,-0.07655058859799421,0.42592592592592593,56,level,75
ar1,1.2414165851832342,1.0262157361738258,-0.24827678786380045,0.4444444444444444,56,level,75
state_mean,3.9688979841292795,3.62253708368317,-0.367987419107964,0.46296296296296297,56,level,75
national_bridge,8.2680972278691,6.793991657651085,4.368736546922136,0.5185185185185185,56,level,75
dfm,9.787100118219497,9.602353398518543,-0.07818186298543951,0.6111111111111112,56,level,75
pooled_mean,9.796142439751081,9.590612869781287,-0.3679874191079792,0.4444444444444444,56,level,75
peer_average,19.303374996172334,19.063429940009204,-0.07655058859799421,0.5370370370370371,56,level,75
dfm,0.8547466397930685,0.7268330561903356,0.21796899217596705,0.6346153846153846,54,qoq_ann,15
bridge,0.9398398367323282,0.788729621253347,-0.10988775841363789,0.6346153846153846,54,qoq_ann,15
pooled_mean,0.9550752062028939,0.7872277463256511,-0.09414061557519236,0.25,54,qoq_ann,15
national_bridge,0.9972024870556211,0.8318789702787067,0.023129358942523198,0.34615384615384615,54,qoq_ann,15
state_mean,1.0022268998982475,0.8495846012532171,-0.09414061557519238,0.17307692307692307,54,qoq_ann,15
ar1,1.0116846235509873,0.8406996094930741,-0.05727853791704781,0.46153846153846156,54,qoq_ann,15
peer_average,1.2951994029559784,1.0625969507414297,0.039722264633486985,0.4230769230769231,54,qoq_ann,15
random_walk,1.4150366419241367,1.1265467909771427,0.039722264633487,0.4230769230769231,54,qoq_ann,15
bridge,0.8107580620276387,0.6887238953753609,-0.07339663562781738,0.6923076923076923,54,qoq_ann,45
dfm,0.8457837477987101,0.7182451516279039,0.18702261136763565,0.6346153846153846,54,qoq_ann,45
pooled_mean,0.9550752062028939,0.7872277463256511,-0.09414061557519236,0.25,54,qoq_ann,45
national_bridge,1.0001638399822501,0.8350765083427786,0.02648688445678096,0.36538461538461536,54,qoq_ann,45
state_mean,1.0022268998982475,0.8495846012532171,-0.09414061557519238,0.17307692307692307,54,qoq_ann,45
ar1,1.0116846235509873,0.8406996094930741,-0.05727853791704781,0.46153846153846156,54,qoq_ann,45
peer_average,1.2951994029559784,1.0625969507414297,0.039722264633486985,0.4230769230769231,54,qoq_ann,45
random_walk,1.4150366419241367,1.1265467909771427,0.039722264633487,0.4230769230769231,54,qoq_ann,45
bridge,0.8107580620276387,0.6887238953753609,-0.07339663562781738,0.6923076923076923,54,qoq_ann,75
dfm,0.8599521545248898,0.7334524229026194,0.21780929348051684,0.6346153846153846,54,qoq_ann,75
pooled_mean,0.9550752062028939,0.7872277463256511,-0.09414061557519236,0.25,54,qoq_ann,75
national_bridge,1.0001638399822501,0.8350765083427786,0.02648688445678096,0.36538461538461536,54,qoq_ann,75
state_mean,1.0022268998982475,0.8495846012532171,-0.09414061557519238,0.17307692307692307,54,qoq_ann,75
ar1,1.0116846235509873,0.8406996094930741,-0.05727853791704781,0.46153846153846156,54,qoq_ann,75
peer_average,1.2951994029559784,1.0625969507414297,0.039722264633486985,0.4230769230769231,54,qoq_ann,75
random_walk,1.4150366419241367,1.1265467909771427,0.039722264633487,0.4230769230769231,54,qoq_ann,75
ar1,0.3357321174290069,0.2795448325030172,0.0023244063347213455,0.4782608695652174,48,yoy,15
random_walk,0.34552996821230136,0.2875756872026016,-0.004709245797269307,0.4782608695652174,48,yoy,15
dfm,0.38562843596370455,0.29846888877025024,0.035407439271693895,0.5434782608695652,48,yoy,15
pooled_mean,0.4362687050180221,0.3669126849412591,-0.13868608163812587,0.43478260869565216,48,yoy,15
bridge,0.48011752844621625,0.37288694848505277,-0.11614035458940541,0.5652173913043478,48,yoy,15
state_mean,0.49093821655638065,0.39058944769083975,-0.13868608163812587,0.45652173913043476,48,yoy,15
national_bridge,0.5383496213336216,0.42480397286814325,0.007377429155781133,0.5,48,yoy,15
peer_average,0.5605275614779757,0.45306521894478863,-0.004709245797269307,0.5652173913043478,48,yoy,15
ar1,0.3357321174290069,0.2795448325030172,0.0023244063347213455,0.4782608695652174,48,yoy,45
random_walk,0.34552996821230136,0.2875756872026016,-0.004709245797269307,0.4782608695652174,48,yoy,45
dfm,0.39089614203544626,0.29724628253440744,0.030576560088391696,0.5217391304347826,48,yoy,45
pooled_mean,0.4362687050180221,0.3669126849412591,-0.13868608163812587,0.43478260869565216,48,yoy,45
state_mean,0.49093821655638065,0.39058944769083975,-0.13868608163812587,0.45652173913043476,48,yoy,45
bridge,0.5122850079042361,0.4245876177470054,-0.13984620087533464,0.5,48,yoy,45
national_bridge,0.5331944039840516,0.4210115376889039,0.011389700573545844,0.5,48,yoy,45
peer_average,0.5605275614779757,0.45306521894478863,-0.004709245797269307,0.5652173913043478,48,yoy,45
ar1,0.3357321174290069,0.2795448325030172,0.0023244063347213455,0.4782608695652174,48,yoy,75
random_walk,0.34552996821230136,0.2875756872026016,-0.004709245797269307,0.4782608695652174,48,yoy,75
dfm,0.390521477941587,0.29831289470569095,0.038935371538907394,0.45652173913043476,48,yoy,75
pooled_mean,0.4362687050180221,0.3669126849412591,-0.13868608163812587,0.43478260869565216,48,yoy,75
state_mean,0.49093821655638065,0.39058944769083975,-0.13868608163812587,0.45652173913043476,48,yoy,75
bridge,0.5122850079042361,0.4245876177470054,-0.13984620087533464,0.5,48,yoy,75
national_bridge,0.5331944039840516,0.4210115376889039,0.011389700573545844,0.5,48,yoy,75
peer_average,0.5605275614779757,0.45306521894478863,-0.004709245797269307,0.5652173913043478,48,yoy,75
